Name;URL;Code;Placed;Age;Type;Difficulty;Terrain;Status;Finds;AvgDays;LogMin;LogMax;LogAverage;Adopted;Logid;Exclude
Please DO NOT feed the horses II;http://www.geocaching.com/seek/cache_details.aspx?guid=f6a40ead-a8bd-48a6-b8a6-60c52e95455c;GC1CA9V;2008-05-16;1.0;Traditional;2.5;1.5;Available;23;12;2;232;53;F;44774753;F
Railway Depot Minicache;http://www.geocaching.com/seek/cache_details.aspx?guid=0c47278f-0245-47b0-ad56-2b55baf74e6f;GCHRNE;2004-02-26;52.2;Traditional;2.5;1;Available;256;61;1;108;24;F;32002611;F
Ripple;http://www.geocaching.com/seek/cache_details.aspx?guid=1141feb4-b7da-4c4a-befc-a0fed6e6ea9a;GCK9TC;2004-08-16;46.4;Traditional;2.5;2;Available;165;84;1;129;31;F;5714098;F
Roads To Nowhere #2;http://www.geocaching.com/seek/cache_details.aspx?guid=cecfe50b-66f9-41f7-8908-2a06b763c242;GCZ57X;2006-10-31;7.2;Traditional;2;1;Archived;62;34;1;156;28;F;24778472;F
Roads To Nowhere #3;http://www.geocaching.com/seek/cache_details.aspx?guid=51d5a7fe-fa09-42e4-86b7-77fc61223ef9;GC12057;2007-04-07;14.4;Traditional;1;1.5;Available;93;46;2;209;29;F;37982062;F
Roads To Nowhere #1;http://www.geocaching.com/seek/cache_details.aspx?guid=15dd52c0-852e-482e-933f-f0fc7f22c667;GCYJRW;2006-09-29;20.7;Traditional;3;1.5;Available;60;104;1;117;44;F;21669876;F
Rock Bridge Cascades;http://www.geocaching.com/seek/cache_details.aspx?guid=650868c0-4689-4f1b-90aa-936a08bf5f21;GC12VMV;2007-05-12;13.3;Traditional;1.5;2;Available;33;120;2;146;35;F;33160431;F
Rock Springs 1;http://www.geocaching.com/seek/cache_details.aspx?guid=2767b5d4-de37-481a-8ea7-b95899e85b5f;GCHFFM;2004-01-07;53.8;Traditional;1.5;1.5;Available;276;58;1;149;27;F;45790654;F
Rock Springs 2;http://www.geocaching.com/seek/cache_details.aspx?guid=8ea57075-3530-4077-9f8e-db855d082bb2;GCHFFN;2004-01-07;52.9;Traditional;2;1.5;Archived;19;837;2;93;30;F;41922287;F
Schoolteacher Heritage;http://www.geocaching.com/seek/cache_details.aspx?guid=3f954973-56f5-40e3-806f-81d607253e76;GCJF75;2004-05-16;49.5;Traditional;1.5;1;Available;97;153;3;153;34;F;37986004;F
Solitary walk;http://www.geocaching.com/seek/cache_details.aspx?guid=40b1e38f-ac19-483a-87bb-15743ea5c3d8;GCYAV3;2006-09-15;21.2;Traditional;1.5;2;Available;137;46;3;420;34;F;28079171;F
St. Ellen's Mine;http://www.geocaching.com/seek/cache_details.aspx?guid=f36f09ce-eb08-44a6-8764-28761ebc90f3;GCHFFW;2004-01-07;53.8;Traditional;2;1.5;Available;199;81;1;212;42;F;20611769;F
St. Louis Arch Virtual Cache;http://www.geocaching.com/seek/cache_details.aspx?guid=a25e6edc-d64c-4bdf-b8e5-c27ad1db0734;GC7ED;2001-04-26;86.6;Virtual;3;1;Available;551;47;2;344;46;F;25320367;F
Totally Lame;http://www.geocaching.com/seek/cache_details.aspx?guid=f74ce4a3-c001-4bf2-a6e2-b2225bb61f56;GCKJ7H;2004-09-14;45.5;Traditional;1;1;Available;222;61;2;98;27;F;5029482;F
Watch the River Flow;http://www.geocaching.com/seek/cache_details.aspx?guid=a224f513-a434-4f82-995b-3d9c26015b3d;GC1BBHY;2008-04-18;1.9;Traditional;2.5;1.5;Available;33;17;7;214;38;F;42805734;F
What truly is the visual language of art?;http://www.geocaching.com/seek/cache_details.aspx?guid=0c159b2c-10f2-47bc-b8d7-f68ca49d0071;GC10P78;2007-01-31;16.6;Traditional;1.5;1.5;Available;64;78;4;184;37;F;31715877;F
The Wilds of Columbia;http://www.geocaching.com/seek/cache_details.aspx?guid=f88b09e6-a4ea-4f3c-bfb2-79fa8a760ee8;GCZBDD;2006-11-12;19.3;Traditional;1.5;2.5;Available;78;74;2;100;30;F;20755744;F
